DATE (UTC),Attributes,Values
47:30.1,UI Request - Recall Preferred Vehicle Settings,"SNA, 15.0"
47:30.2,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - On/Off,"ON, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,UI Setting - Suspension Lowering Speed,"SNA, 127.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Range Mode,0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - DAB Radio usage (minutes),0
47:30.2,"Door External Release - Driver Side, Front","UNPRESSED, 0.0"
47:30.2,Key Fob - In Use,3
,"Door Status - Driver's Side, Front","closed, 0.0"
,"Door Status - Driver's Side, Rear","closed, 0.0"
47:30.2,"Door Status - Passenger Side, Front","closed, 0.0"
,"Door Status - Passenger Side, Rear","closed, 0.0"
,Driver Seat Occupancy Sensor,2
,Key Fob - Detected Location,"UNKNOWN, 3.0"
47:30.2,Key Fob - Identity,"KEY_INDEX_0, 0.0"
47:30.2,User Interface Request - Front Trunk,"UNPRESSED, 0.0"
,Key Fob Request - Open Front Trunk,"UNPRESSED, 0.0"
47:30.2,Front Left Fog Light/Lamp,"Off, 0.0"
,Head Lamps,"Off, 0.0"
47:30.2,"Direction Indicator, Left","Off, 0.0"
,"Direction Indicator, Right","Off, 0.0"
47:30.2,"Door External Release - Passenger Side, Front","UNPRESSED, 0.0"
,"Door Internal Release - Passenger Side, Front","UNPRESSED, 0.0"
47:30.2,Charge Cable Connected,"CHG_PROXIMITY_DISCONNECTED, 1.0"
47:30.3,Autosteer Driver Hands On Detection,"LC_HANDS_ON_SNA, 15.0"
,Auto Lane Change State,"ALC_SNA, 31.0"
47:30.3,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
47:30.3,Brake Pedal Application,"SNA, 3.0"
,Gear Selection,"DI_GEAR_SNA, 7.0"
47:30.3,Park Button Status,"SNA, 3.0"
,Gear Selector Status,"SNA, 15.0"
47:30.3,Brake Pedal Manual Application (SNA is recorded when signal is not available),"Faulty_SNA, 3.0"
,"Door External Release - Driver Side, Front","PRESSED, 1.0"
